id,name,Description of company,desc,url,img_url,domain,stage,aspect_ratio,padding
6385a1e75930cb0012e46bc3,Advanced MedTech Holdings,"Advanced MedTech Holdings (AMTH) is a global medical technology leader with a core focus in urology devices and contract manufacturing services. AMTH makes strategic investments in disruptive medical technology companies, strengthening its portfolio of healthcare solutions for customers worldwide.","Advanced MedTech Holdings (AMTH) is a global medical technology leader with a core focus in urology devices and contract manufacturing services. AMTH makes strategic investments in disruptive medical technology companies, strengthening its portfolio of healthcare solutions for customers worldwide.",https://www.advanced-medtech.com/,/images/6385a1e75930cb0012e46bc3/Question 4 - Advanced MedTech Holdings.png,hbms,,,
63749a89a295930012c45e0f,Altara Ventures,Series A stage venture capital firm headquartered in Singapore and focused on technology investments across Southeast Asia. ,Altara is a Series A stage venture capital firm headquartered in Singapore and focused on technology investments across Southeast Asia. ,https://altaraventures.com/,/images/63749a89a295930012c45e0f/Question 4 - Altara Ventures1_16x9.png,hbms,Pre-Series A to Series B,,
63733c813715fc001223548a,Big Idea Ventures,"Big Idea Ventures is a hybrid venture firm: Our first fund is the New Protein Fund, which has raised up to USD$50M to invest in the alternative protein ecosystem. We support and grow the world’s most compelling entrepreneurs globally and have made over 100 investments in this space.","Big Idea Ventures is a hybrid venture firm. Its first fund is the New Protein Fund, which has raised up to USD$50M to invest in the alternative protein ecosystem. They support and grow the world’s most compelling entrepreneurs globally and have made over 100 investments in this space.",https://bigideaventures.com/,/images/63733c813715fc001223548a/Question 4 - Big Idea Ventures (Black Logo).png,agri,"Seed to Series A	",,
63864afff8b9a70011e0e3aa,Bits x Bites,"Bits x Bites is China’s pioneer agrifood tech VC, investing in early-stage startups with transformative technologies to address critical challenges in the food system. It invests across the supply chain, from precision agriculture, crop and animal health to protein alternatives and human nutrition.","Bits x Bites is China’s pioneer agrifood tech VC, investing in early-stage startups with transformative technologies to address critical challenges in the food system. It invests across the supply chain, from precision agriculture, crop and animal health to protein alternatives and human nutrition.",www.bitsxbites.com,/images/63864afff8b9a70011e0e3aa/Question 4 - EN_Horizontal(1).png,agri,"Seed to Series A	",,
6374f7f154bd0e0012de5d37,Blue InCube Ventures,"Specialist B2B venture builder and early stage investor co-creating businesses with innovative application of advanced software, sensors, robotics and data analytics to solve challenging problems in advanced manufacturing, logistics, healthcare, agri-foodtech, environment and industrials verticals.","Blue InCube is a specialist B2B venture builder and early stage investor co-creating businesses with innovative application of advanced software, sensors, robotics and data analytics to solve challenging problems in advanced manufacturing, logistics, healthcare, agri-foodtech, environment and industrials verticals.",https://www.blueincube.com/,/images/6374f7f154bd0e0012de5d37/Question 4 - blueincube_logo_2022-07.png,ame,"	Seed to Series A",,
637b35f30f6d9d00110dbaa8,BrincArtesian,"BrincArtesian is a Singapore based fund manager that backs early stage entrepreneurs in Asia solving fundamental problems such as food security, healthcare quality & access, climate change and financial inclusion. We invest through our 20+ sector-specialized accelerators across the region.","BrincArtesian is a Singapore based fund manager that backs early stage entrepreneurs in Asia solving fundamental problems such as food security, healthcare quality & access, climate change and financial inclusion. We invest through our 20+ sector-specialized accelerators across the region.",https://www.brincartesian.com/,/images/637b35f30f6d9d00110dbaa8/Question 4 - BrincArtesian Logo.jpg,agri,Pre-seed to Series A,,
6385984c1e1abf0012d1ed8f,Cube3 Ventures,"Targeting seed stage to Series-A and B start-ups, CUBE3 Ventures is a game-changing automotive, smart mobility, logistics and supply-chain, fund that bridges the gap between Deep Tech, Deep Talent and Deep Market","CUBE3 Ventures is a game-changing automotive, smart mobility, logistics and supply-chain, fund that bridges the gap between Deep Tech, Deep Talent and Deep Market.",https://www.goldbell.com.sg/about/future_mobility/cube3ventures/,/images/6385984c1e1abf0012d1ed8f/Question 4 - CUBE3 Logo 1.png,ame,Seed to Series B,,
637b306b5bfbd800134a574f,Elev8.vc,"Elev8.vc is a seed-stage Deep Tech fund focused on SEA. The fund’s four main verticals are Smart Mobility, Medical Tech, Complex Computing and Novel Materials. We invest in radical founders that build groundbreaking technology businesses and scale them with the largest enterprises globally.","Elev8.vc is a seed-stage Deep Tech fund focused on SEA. The fund’s four main verticals are Smart Mobility, Medical Tech, Complex Computing and Novel Materials. They invest in radical founders that build groundbreaking technology businesses and scale them with the largest enterprises globally.",https://elev8.vc,/images/637b306b5bfbd800134a574f/Question 4 - elev8.vc logo (Flat blue 2).png,uss,"	Seed to Series A",,
6371f83c3715fc00120a0495,Emerald,"Emerald, a global venture capital firm focused on sustainable industry and tech, is a pioneer in open innovation with €1 billion in managed/advised assets. Since 2000, it has over 500 venture transactions and five third-party investment mandates, offering rich deal flow and insights to corporates.","Emerald, a global venture capital firm focused on sustainable industry and tech, is a pioneer in open innovation with €1 billion in managed/advised assets. Since 2000, it has over 500 venture transactions and five third-party investment mandates, offering rich deal flow and insights to corporates.",https://emerald-ventures.com/,/images/6371f83c3715fc00120a0495/Question 4 - Full_Coloured.png,uss,Seed to Series C,,
637f1a3fe5a2f100120003df,EVX Ventures,"EVX Ventures is a global VC with offices across Singapore, Shanghai & Boston, that builds, incubates, and invests in biotech companies. With a focus on disruptive therapeutics platform technologies and novel therapeutic modalities, we invest to redefine the therapeutics of tomorrow.","EVX Ventures is a global VC with offices across Singapore, Shanghai & Boston, that builds, incubates, and invests in biotech companies. With a focus on disruptive therapeutics platform technologies and novel therapeutic modalities, we invest to redefine the therapeutics of tomorrow.",https://www.evx.ventures/,/images/637f1a3fe5a2f100120003df/Question 4 - EVX VENTURES_FINAL1.png,hbms,"	Seed to Series A",,
